era,city,date,time,variant,apparent_shift_minutes,any_changed,changed
구표준시,서울,1956-04-02,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-04-02,21:23,noSolarTime,2,0,""
구표준시,서울,1956-04-02,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,서울,1956-04-02,23:30,noSolarTime,2,0,""
구표준시,서울,1956-05-09,00:13,noHistoricalTz,-30,1,"dayPillar|ascSign|planetHouses"
구표준시,서울,1956-05-09,00:13,noSolarTime,2,0,""
구표준시,서울,1956-05-09,02:20,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-05-09,02:20,noSolarTime,2,0,""
구표준시,서울,1956-05-09,04:27,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-05-09,04:27,noSolarTime,2,0,""
구표준시,서울,1956-05-09,06:34,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-05-09,06:34,noSolarTime,2,0,""
구표준시,서울,1956-05-09,08:41,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-05-09,08:41,noSolarTime,2,0,""
구표준시,서울,1956-05-09,10:48,noHistoricalTz,-30,1,"mcSign|planetHouses"
구표준시,서울,1956-05-09,10:48,noSolarTime,2,0,""
구표준시,서울,1956-05-09,12:55,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-05-09,12:55,noSolarTime,2,0,""
구표준시,서울,1956-05-09,15:02,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-05-09,15:02,noSolarTime,2,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-05-09,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,서울,1956-05-09,17:09,noSolarTime,2,0,""
구표준시,서울,1956-05-09,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,서울,1956-05-09,19:16,noSolarTime,2,0,""
구표준시,서울,1956-05-09,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-05-09,21:23,noSolarTime,2,0,""
구표준시,서울,1956-05-09,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-05-09,23:30,noSolarTime,2,0,""
구표준시,서울,1956-06-16,00:13,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,00:13,noSolarTime,62,1,"dayPillar"
구표준시,서울,1956-06-16,02:20,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-06-16,02:20,noSolarTime,62,0,""
구표준시,서울,1956-06-16,04:27,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,04:27,noSolarTime,62,0,""
구표준시,서울,1956-06-16,06:34,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,06:34,noSolarTime,62,0,""
구표준시,서울,1956-06-16,08:41,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,08:41,noSolarTime,62,0,""
구표준시,서울,1956-06-16,10:48,noHistoricalTz,30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-06-16,10:48,noSolarTime,62,0,""
구표준시,서울,1956-06-16,12:55,noHistoricalTz,30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-06-16,12:55,noSolarTime,62,0,""
구표준시,서울,1956-06-16,15:02,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,15:02,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-06-16,17:09,noHistoricalTz,30,1,"mcSign|planetHouses"
구표준시,서울,1956-06-16,17:09,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-06-16,19:16,noHistoricalTz,30,1,"mcSign|planetHouses"
구표준시,서울,1956-06-16,19:16,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-06-16,21:23,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,21:23,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-06-16,23:30,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-06-16,23:30,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-07-23,00:13,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-07-23,00:13,noSolarTime,62,1,"dayPillar"
구표준시,서울,1956-07-23,02:20,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-07-23,02:20,noSolarTime,62,0,""
구표준시,서울,1956-07-23,04:27,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-07-23,04:27,noSolarTime,62,0,""
