birth_id,city,date,time,offset_min,any_changed,changed,asc_shift_deg,planet_house_changes
서울-1980-01-08-20:20,서울,1980-01-08,20:20,30,0,,6.0500,0
서울-1980-01-08-20:20,서울,1980-01-08,20:20,60,1,ascSign|mcSign|planetHouses,12.1167,6
서울-1980-01-08-20:20,서울,1980-01-08,20:20,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.3333,10
서울-1980-01-08-22:34,서울,1980-01-08,22:34,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.3667,11
서울-1980-01-08-22:34,서울,1980-01-08,22:34,-60,1,planetHouses,12.2333,5
서울-1980-01-08-22:34,서울,1980-01-08,22:34,-30,1,planetHouses,6.1167,3
서울-1980-01-08-22:34,서울,1980-01-08,22:34,-15,1,planetHouses,3.0500,1
서울-1980-01-08-22:34,서울,1980-01-08,22:34,-5,0,,1.0167,0
서울-1980-01-08-22:34,서울,1980-01-08,22:34,5,0,,1.0333,0
서울-1980-01-08-22:34,서울,1980-01-08,22:34,15,1,planetHouses,3.0833,1
서울-1980-01-08-22:34,서울,1980-01-08,22:34,30,1,planetHouses,6.1500,2
서울-1980-01-08-22:34,서울,1980-01-08,22:34,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,12.3000,7
서울-1980-01-08-22:34,서울,1980-01-08,22:34,120,1,dayPillar|hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.5667,10
서울-1980-02-15-00:00,서울,1980-02-15,00:00,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.3333,12
서울-1980-02-15-00:00,서울,1980-02-15,00:00,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,12.1167,6
서울-1980-02-15-00:00,서울,1980-02-15,00:00,-30,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses,6.0500,2
서울-1980-02-15-00:00,서울,1980-02-15,00:00,-15,0,,3.0333,0
서울-1980-02-15-00:00,서울,1980-02-15,00:00,-5,0,,1.0167,0
서울-1980-02-15-00:00,서울,1980-02-15,00:00,5,0,,1.0000,0
서울-1980-02-15-00:00,서울,1980-02-15,00:00,15,0,,3.0167,0
서울-1980-02-15-00:00,서울,1980-02-15,00:00,30,0,,6.0333,0
서울-1980-02-15-00:00,서울,1980-02-15,00:00,60,1,dayPillar|planetHouses,12.0667,3
서울-1980-02-15-00:00,서울,1980-02-15,00:00,120,1,dayPillar|hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.1833,12
